date,delay,distance,origin,destination
01011245,6,602,ABE,ATL
01020600,-8,369,ABE,DTW
01021245,-2,602,ABE,ATL
01020605,-4,602,ABE,ATL
01031245,-4,602,ABE,ATL
01030605,0,602,ABE,ATL
01041243,10,602,ABE,ATL
01040605,28,602,ABE,ATL
01051245,88,602,ABE,ATL
01050605,9,602,ABE,ATL
01061215,-6,602,ABE,ATL
01061725,69,602,ABE,ATL
01061230,0,369,ABE,DTW
01060625,-3,602,ABE,ATL
01070600,0,369,ABE,DTW
01071725,0,602,ABE,ATL
01071230,0,369,ABE,DTW
01070625,0,602,ABE,ATL
01071219,0,569,ABE,ORD
01080600,0,369,ABE,DTW
01081230,33,369,ABE,DTW
01080625,1,602,ABE,ATL
01080607,5,569,ABE,ORD
01081219,54,569,ABE,ORD
01091215,43,602,ABE,ATL
